"team_market.x","rank_Poll_1","rank_Poll_2","rank_Poll_3","rank_Poll_4","rank_Poll_5","rank_Poll_6","rank_Poll_7","rating_Poll_1","rating_Poll_2","rating_Poll_3","rating_Poll_4","rating_Poll_5","rating_Poll_6","rating_Poll_7","n_Poll_1","n_Poll_2","n_Poll_3","n_Poll_4","n_Poll_5","n_Poll_6","n_Poll_7","wins_Poll_1","wins_Poll_2","wins_Poll_3","wins_Poll_4","wins_Poll_5","wins_Poll_6","wins_Poll_7","losses_Poll_1","losses_Poll_2","losses_Poll_3","losses_Poll_4","losses_Poll_5","losses_Poll_6","losses_Poll_7","draws_Poll_1","draws_Poll_2","draws_Poll_3","draws_Poll_4","draws_Poll_5","draws_Poll_6","draws_Poll_7","total_goals_Poll_1","total_goals_Poll_2","total_goals_Poll_3","total_goals_Poll_4","total_goals_Poll_5","total_goals_Poll_6","total_goals_Poll_7"
"Southern Ind.",104,138,147,158,162,171,176,-0.0328008395753186,-0.477454121820024,-0.648682886252304,-0.803071462118313,-0.879201250189239,-1.14543156349682,-1.32353332781891,2,4,6,7,8,11,12,0,0,0,0,0,1,1,2,4,5,6,6,8,9,0,0,1,1,2,2,2,2,4,4,5,6,9,10
"Northeastern",105,103,89,95,99,116,123,-0.100556451593875,0.0438585359759918,0.193909347661444,0.143185213275997,0.0683216065349963,-0.176970322206445,-0.333020671692294,2,4,6,7,9,11,13,0,1,2,2,3,3,3,1,1,1,2,3,5,7,1,2,3,3,3,3,3,3,7,11,12,13,13,14
"Omaha",106,108,102,121,118,124,113,-0.125835893546028,-0.0319815758858743,0.042252833096988,-0.2725377668089,-0.196441514459536,-0.302757868047162,-0.138088591328526,2,4,5,7,8,9,10,1,2,3,3,4,4,5,1,1,1,3,3,4,4,0,1,1,1,1,1,1,5,8,10,12,14,14,18
"Fairfield",107,107,116,112,124,123,137,-0.143167968476417,-0.0285522255549419,-0.194055675629398,-0.140949052320151,-0.317843446641178,-0.280122614233357,-0.531114530012685,2,3,5,7,8,10,12,1,2,3,4,4,5,5,1,1,2,3,4,5,7,0,0,0,0,0,0,0,3,4,6,9,9,12,14
"Pacific",108,121,136,154,158,160,160,-0.158539874400471,-0.299585838752691,-0.506023501315655,-0.719440882899603,-0.853218054609932,-0.837358591201295,-0.889563809365033,2,4,6,8,9,10,11,1,1,1,1,1,1,1,1,2,4,6,7,7,8,0,1,1,1,1,2,2,5,6,7,10,10,10,10
"DePaul",109,101,109,96,111,121,108,-0.160199220343584,0.0759989600268012,-0.0554214844385354,0.131966053656552,-0.11216562733146,-0.214451846376179,-0.0516045341815103,2,4,5,7,8,9,11,1,2,2,3,3,3,3,0,0,1,1,2,3,3,1,2,2,3,3,3,5,2,4,5,9,9,9,10
"UC Davis",110,128,137,139,137,144,126,-0.160954644574538,-0.377634074377443,-0.514364409589856,-0.530064318586816,-0.497628931362083,-0.651670714956224,-0.366410115824123,1,3,5,7,8,10,12,0,0,0,1,1,1,3,1,3,4,5,5,6,6,0,0,1,1,2,3,3,1,2,2,6,6,7,9
"Stonehill",111,145,134,134,168,176,181,-0.174626440366073,-0.582493698653362,-0.474984119865099,-0.479194590750888,-0.985944775462014,-1.2582173825455,-1.41833827048138,1,3,4,6,8,10,11,0,0,1,2,2,2,2,1,3,3,4,6,8,9,0,0,0,0,0,0,0,3,5,6,9,11,11,13
"ETSU",112,122,132,149,135,142,127,-0.181406411835204,-0.335007228274359,-0.454982708485531,-0.623245817459999,-0.464421095976055,-0.609797123177546,-0.379779651458555,2,4,6,7,8,10,11,2,3,3,3,4,5,6,0,1,2,3,3,4,4,0,0,1,1,1,1,1,7,10,10,10,13,16,19
"UConn",113,115,125,125,132,139,144,-0.201610979743145,-0.224048811191446,-0.335776961354023,-0.317949136726375,-0.445973309038004,-0.547228173675694,-0.591137551177314,2,4,5,6,7,8,10,1,2,2,2,2,2,3,1,2,3,3,4,5,6,0,0,0,1,1,1,1,3,6,7,8,9,9,12
"William & Mary",114,131,122,113,103,101,92,-0.216835529222902,-0.387880174002739,-0.298877401754184,-0.168341991253093,-0.000666370789421833,-0.0356689491992936,0.206541981318948,2,4,6,7,9,10,12,0,0,1,2,3,3,4,1,2,2,2,2,2,2,1,2,3,3,4,5,6,4,6,8,10,13,15,17
"Army West Point",115,126,108,99,92,99,88,-0.23344271924546,-0.351817199343419,-0.026187909996381,0.115961735231281,0.22830760881862,0.0671193208709122,0.308007076031274,2,3,6,7,8,10,12,0,0,2,3,4,4,6,1,2,2,2,2,3,3,1,1,2,2,2,3,3,2,4,8,10,13,15,18
"Saint Joseph's",116,117,129,116,133,126,121,-0.238450755730491,-0.259091017379915,-0.384779459553201,-0.198208422008168,-0.449068528520374,-0.322461953625722,-0.317081866092908,1,3,5,7,9,10,13,0,0,0,1,1,2,2,1,1,2,2,4,4,5,0,2,3,4,4,4,6,0,2,2,5,6,9,9
"South Fla.",117,135,118,118,110,108,98,-0.241019916214087,-0.427263686229402,-0.241659711655365,-0.22338216502075,-0.0888081342573863,-0.0888081342573863,0.10892682827137,2,4,5,6,7,7,9,0,0,1,1,2,2,3,1,3,3,3,3,3,3,1,1,1,2,2,2,3,0,0,2,3,5,5,9
"La Salle",118,119,140,152,144,134,143,-0.242829936780548,-0.279412916877791,-0.53013640520051,-0.711042370502156,-0.608256913909279,-0.496415874722363,-0.589803050998452,2,4,6,8,9,10,13,1,1,1,1,2,3,3,1,1,3,5,5,5,6,0,2,2,2,2,2,4,5,8,8,9,11,13,16
"Stony Brook",119,109,120,141,145,152,145,-0.258834062223709,-0.0328125483089493,-0.286123849423821,-0.530470930654801,-0.610588643646119,-0.727381716877272,-0.600846642358315,2,4,6,8,9,10,11,1,3,3,3,3,3,4,1,1,3,5,6,7,7,0,0,0,0,0,0,0,4,8,8,10,10,10,12
"Virginia",120,110,87,85,82,78,78,-0.263899128120737,-0.0917511468080157,0.245618371794127,0.31625464089214,0.458236460538628,0.532373580431853,0.550720182245664,2,4,6,8,9,11,12,1,2,4,5,6,7,7,1,2,2,3,3,4,4,0,0,0,0,0,0,1,4,8,17,20,21,24,24
"Memphis",121,132,121,100,93,95,93,-0.290326025154961,-0.397618025724123,-0.296319819355393,0.0677626439160004,0.184542095510418,0.0950663165475206,0.202256298661797,2,3,4,6,8,9,11,1,1,2,4,5,5,6,0,1,1,1,1,2,2,1,1,1,1,2,2,3,6,6,7,14,18,20,22
"Davidson",122,141,135,130,117,125,132,-0.320785739586011,-0.498580804730279,-0.490452490977713,-0.418191156342873,-0.18966265241915,-0.317555921229924,-0.446445140965167,2,4,5,7,9,10,12,0,0,0,1,3,3,3,2,4,4,5,5,6,7,0,0,1,1,1,1,2,0,1,1,6,11,12,14
"Wisconsin",123,139,117,120,126,133,124,-0.334386448168057,-0.477955833283787,-0.195528843126657,-0.26609992965378,-0.372750111481504,-0.44960439714158,-0.350044813791468,1,3,5,6,7,9,11,1,1,3,3,3,3,4,0,2,2,3,4,5,5,0,0,0,0,0,1,2,5,7,13,13,13,13,16
